loc_rowid,pl_name,hostname,discoverymethod,disc_year
1,11 Com b,11 Com,Radial Velocity,2007
2,11 Com b,11 Com,Radial Velocity,2007
3,11 Com b,11 Com,Radial Velocity,2007
4,11 UMi b,11 UMi,Radial Velocity,2009
5,11 UMi b,11 UMi,Radial Velocity,2009
6,11 UMi b,11 UMi,Radial Velocity,2009
7,14 And b,14 And,Radial Velocity,2008
8,14 And b,14 And,Radial Velocity,2008
9,14 And b,14 And,Radial Velocity,2008
10,14 Her b,14 Her,Radial Velocity,2002
11,14 Her b,14 Her,Radial Velocity,2002
12,14 Her b,14 Her,Radial Velocity,2002
13,14 Her b,14 Her,Radial Velocity,2002
14,14 Her b,14 Her,Radial Velocity,2002
15,14 Her b,14 Her,Radial Velocity,2002
16,14 Her b,14 Her,Radial Velocity,2002
17,14 Her b,14 Her,Radial Velocity,2002
18,16 Cyg B b,16 Cyg B,Radial Velocity,1996
19,16 Cyg B b,16 Cyg B,Radial Velocity,1996
20,16 Cyg B b,16 Cyg B,Radial Velocity,1996
21,16 Cyg B b,16 Cyg B,Radial Velocity,1996
22,16 Cyg B b,16 Cyg B,Radial Velocity,1996
23,16 Cyg B b,16 Cyg B,Radial Velocity,1996
24,17 Sco b,17 Sco,Radial Velocity,2020
25,18 Del b,18 Del,Radial Velocity,2008
26,18 Del b,18 Del,Radial Velocity,2008
27,18 Del b,18 Del,Radial Velocity,2008
28,1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008
29,1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008
30,1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008
31,1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008
32,24 Boo b,24 Boo,Radial Velocity,2018
33,24 Boo b,24 Boo,Radial Velocity,2018
34,24 Sex b,24 Sex,Radial Velocity,2010
35,24 Sex c,24 Sex,Radial Velocity,2010
36,2M0437 b,2MASS J04372171+2651014,Imaging,2021
37,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013
38,2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013
39,2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013
40,2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015
41,2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010
42,2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004
43,2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004
44,2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015
45,2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015
46,2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016
47,30 Ari B b,30 Ari B,Radial Velocity,2009
48,30 Ari B b,30 Ari B,Radial Velocity,2009
49,30 Ari B b,30 Ari B,Radial Velocity,2009
50,4 UMa b,4 UMa,Radial Velocity,2006
51,4 UMa b,4 UMa,Radial Velocity,2006
52,42 Dra b,42 Dra,Radial Velocity,2008
53,47 UMa b,47 UMa,Radial Velocity,1996
54,47 UMa b,47 UMa,Radial Velocity,1996
55,47 UMa b,47 UMa,Radial Velocity,1996
56,47 UMa b,47 UMa,Radial Velocity,1996
57,47 UMa b,47 UMa,Radial Velocity,1996
58,47 UMa c,47 UMa,Radial Velocity,2001
59,47 UMa c,47 UMa,Radial Velocity,2001
60,47 UMa c,47 UMa,Radial Velocity,2001
61,47 UMa d,47 UMa,Radial Velocity,2009
62,47 UMa d,47 UMa,Radial Velocity,2009
63,51 Eri b,51 Eri,Imaging,2015
64,51 Eri b,51 Eri,Imaging,2015
65,51 Eri b,51 Eri,Imaging,2015
66,51 Peg b,51 Peg,Radial Velocity,1995
67,51 Peg b,51 Peg,Radial Velocity,1995
68,51 Peg b,51 Peg,Radial Velocity,1995
69,51 Peg b,51 Peg,Radial Velocity,1995
70,51 Peg b,51 Peg,Radial Velocity,1995
71,55 Cnc b,55 Cnc,Radial Velocity,1996
72,55 Cnc b,55 Cnc,Radial Velocity,1996
73,55 Cnc b,55 Cnc,Radial Velocity,1996
74,55 Cnc b,55 Cnc,Radial Velocity,1996
75,55 Cnc b,55 Cnc,Radial Velocity,1996
76,55 Cnc b,55 Cnc,Radial Velocity,1996
77,55 Cnc b,55 Cnc,Radial Velocity,1996
78,55 Cnc b,55 Cnc,Radial Velocity,1996
79,55 Cnc b,55 Cnc,Radial Velocity,1996
80,55 Cnc b,55 Cnc,Radial Velocity,1996
81,55 Cnc b,55 Cnc,Radial Velocity,1996
82,55 Cnc b,55 Cnc,Radial Velocity,1996
83,55 Cnc c,55 Cnc,Radial Velocity,2004
84,55 Cnc c,55 Cnc,Radial Velocity,2004
85,55 Cnc c,55 Cnc,Radial Velocity,2004
86,55 Cnc c,55 Cnc,Radial Velocity,2004
87,55 Cnc c,55 Cnc,Radial Velocity,2004
88,55 Cnc c,55 Cnc,Radial Velocity,2004
89,55 Cnc c,55 Cnc,Radial Velocity,2004
90,55 Cnc c,55 Cnc,Radial Velocity,2004
91,55 Cnc d,55 Cnc,Radial Velocity,2002
92,55 Cnc d,55 Cnc,Radial Velocity,2002
93,55 Cnc d,55 Cnc,Radial Velocity,2002
94,55 Cnc d,55 Cnc,Radial Velocity,2002
95,55 Cnc d,55 Cnc,Radial Velocity,2002
96,55 Cnc d,55 Cnc,Radial Velocity,2002
97,55 Cnc d,55 Cnc,Radial Velocity,2002
98,55 Cnc d,55 Cnc,Radial Velocity,2002
99,55 Cnc d,55 Cnc,Radial Velocity,2002
100,55 Cnc d,55 Cnc,Radial Velocity,2002
101,55 Cnc e,55 Cnc,Radial Velocity,2004
102,55 Cnc e,55 Cnc,Radial Velocity,2004
103,55 Cnc e,55 Cnc,Radial Velocity,2004
104,55 Cnc e,55 Cnc,Radial Velocity,2004
105,55 Cnc e,55 Cnc,Radial Velocity,2004
106,55 Cnc e,55 Cnc,Radial Velocity,2004
107,55 Cnc e,55 Cnc,Radial Velocity,2004
108,55 Cnc e,55 Cnc,Radial Velocity,2004
109,55 Cnc e,55 Cnc,Radial Velocity,2004
110,55 Cnc e,55 Cnc,Radial Velocity,2004
111,55 Cnc e,55 Cnc,Radial Velocity,2004
112,55 Cnc e,55 Cnc,Radial Velocity,2004
113,55 Cnc e,55 Cnc,Radial Velocity,2004
114,55 Cnc e,55 Cnc,Radial Velocity,2004
115,55 Cnc e,55 Cnc,Radial Velocity,2004
116,55 Cnc e,55 Cnc,Radial Velocity,2004
117,55 Cnc e,55 Cnc,Radial Velocity,2004
118,55 Cnc e,55 Cnc,Radial Velocity,2004
119,55 Cnc f,55 Cnc,Radial Velocity,2007
120,55 Cnc f,55 Cnc,Radial Velocity,2007
121,55 Cnc f,55 Cnc,Radial Velocity,2007
122,55 Cnc f,55 Cnc,Radial Velocity,2007
123,55 Cnc f,55 Cnc,Radial Velocity,2007
124,55 Cnc f,55 Cnc,Radial Velocity,2007
125,55 Cnc f,55 Cnc,Radial Velocity,2007
126,6 Lyn b,6 Lyn,Radial Velocity,2008
127,6 Lyn b,6 Lyn,Radial Velocity,2008
128,6 Lyn b,6 Lyn,Radial Velocity,2008
129,6 Lyn b,6 Lyn,Radial Velocity,2008
130,61 Vir b,61 Vir,Radial Velocity,2009
131,61 Vir b,61 Vir,Radial Velocity,2009
132,61 Vir c,61 Vir,Radial Velocity,2009
133,61 Vir c,61 Vir,Radial Velocity,2009
134,61 Vir d,61 Vir,Radial Velocity,2009
135,7 CMa b,7 CMa,Radial Velocity,2011
136,7 CMa b,7 CMa,Radial Velocity,2011
137,7 CMa b,7 CMa,Radial Velocity,2011
138,7 CMa c,7 CMa,Radial Velocity,2019
139,70 Vir b,70 Vir,Radial Velocity,1996
140,70 Vir b,70 Vir,Radial Velocity,1996
141,70 Vir b,70 Vir,Radial Velocity,1996
142,70 Vir b,70 Vir,Radial Velocity,1996
143,70 Vir b,70 Vir,Radial Velocity,1996
144,70 Vir b,70 Vir,Radial Velocity,1996
145,75 Cet b,75 Cet,Radial Velocity,2012
146,75 Cet b,75 Cet,Radial Velocity,2012
147,75 Cet c,75 Cet,Radial Velocity,2023
148,8 UMi b,8 UMi,Radial Velocity,2015
149,8 UMi b,8 UMi,Radial Velocity,2015
150,81 Cet b,81 Cet,Radial Velocity,2008
151,81 Cet b,81 Cet,Radial Velocity,2008
152,81 Cet b,81 Cet,Radial Velocity,2008
153,91 Aqr b,91 Aqr,Radial Velocity,2013
154,AB Aur b,AB Aur,Imaging,2022
155,AB Pic b,AB Pic,Imaging,2005
156,AF Lep b,AF Lep,Imaging,2023
157,AF Lep b,AF Lep,Imaging,2023
158,AF Lep b,AF Lep,Imaging,2023
159,AU Mic b,AU Mic,Transit,2020
160,AU Mic b,AU Mic,Transit,2020
161,AU Mic b,AU Mic,Transit,2020
162,AU Mic b,AU Mic,Transit,2020
163,AU Mic b,AU Mic,Transit,2020
164,AU Mic b,AU Mic,Transit,2020
165,AU Mic b,AU Mic,Transit,2020
166,AU Mic b,AU Mic,Transit,2020
167,AU Mic b,AU Mic,Transit,2020
168,AU Mic b,AU Mic,Transit,2020
169,AU Mic c,AU Mic,Transit,2021
170,AU Mic c,AU Mic,Transit,2021
171,AU Mic c,AU Mic,Transit,2021
172,AU Mic c,AU Mic,Transit,2021
173,AU Mic c,AU Mic,Transit,2021
174,AU Mic c,AU Mic,Transit,2021
175,AU Mic d,AU Mic,Transit Timing Variations,2023
176,BD+03 2562 b,BD+03 2562,Radial Velocity,2017
177,BD+14 4559 b,BD+14 4559,Radial Velocity,2009
178,BD+14 4559 b,BD+14 4559,Radial Velocity,2009
179,BD+15 2375 b,BD+15 2375,Radial Velocity,2016
180,BD+15 2940 b,BD+15 2940,Radial Velocity,2013
181,BD+20 2457 b,BD+20 2457,Radial Velocity,2009
182,BD+20 2457 b,BD+20 2457,Radial Velocity,2009
183,BD+20 2457 c,BD+20 2457,Radial Velocity,2009
184,BD+20 274 b,BD+20 274,Radial Velocity,2012
185,BD+20 594 b,BD+20 594,Transit,2016
186,BD+20 594 b,BD+20 594,Transit,2016
187,BD+20 594 b,BD+20 594,Transit,2016
188,BD+45 564 b,BD+45 564,Radial Velocity,2021
189,BD+48 738 b,BD+48 738,Radial Velocity,2011
190,BD+48 740 b,BD+48 740,Radial Velocity,2018
191,BD+49 828 b,BD+49 828,Radial Velocity,2015
192,BD+55 362 b,BD+55 362,Radial Velocity,2021
193,BD+60 1417 b,BD+60 1417,Imaging,2021
194,BD+63 1405 b,BD+63 1405,Radial Velocity,2021
195,BD+63 1405 b,BD+63 1405,Radial Velocity,2021
196,BD-00 4475 b,BD-00 4475,Radial Velocity,2021
197,BD-06 1339 b,BD-06 1339,Radial Velocity,2013
198,BD-06 1339 c,BD-06 1339,Radial Velocity,2013
199,BD-08 2823 b,BD-08 2823,Radial Velocity,2009
200,BD-08 2823 b,BD-08 2823,Radial Velocity,2009
201,BD-08 2823 c,BD-08 2823,Radial Velocity,2009
202,BD-10 3166 b,BD-10 3166,Radial Velocity,2000
203,BD-10 3166 b,BD-10 3166,Radial Velocity,2000
204,BD-10 3166 b,BD-10 3166,Radial Velocity,2000
205,BD-10 3166 b,BD-10 3166,Radial Velocity,2000
206,BD-11 4672 b,BD-11 4672,Radial Velocity,2014
207,BD-11 4672 b,BD-11 4672,Radial Velocity,2014
208,BD-11 4672 c,BD-11 4672,Radial Velocity,2020
209,BD-13 2130 b,BD-13 2130,Radial Velocity,2007
210,BD-13 2130 b,BD-13 2130,Radial Velocity,2007
211,BD-17 63 b,BD-17 63,Radial Velocity,2008
212,BD-17 63 b,BD-17 63,Radial Velocity,2008
213,BD-210397 b,BD-210397,Radial Velocity,2023
214,BD-210397 c,BD-210397,Radial Velocity,2023
215,BD-210397 c,BD-210397,Radial Velocity,2023
216,CD Cet b,CD Cet,Radial Velocity,2020
217,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,2011
218,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,2021
219,CHXR 73 b,CHXR 73,Imaging,2006
220,CI Tau c,CI Tau,Radial Velocity,2024
221,COCONUTS-2 b,COCONUTS-2 A,Imaging,2021
222,CT Cha b,CT Cha,Imaging,2007
223,CoRoT-1 b,CoRoT-1,Transit,2008
224,CoRoT-1 b,CoRoT-1,Transit,2008
225,CoRoT-1 b,CoRoT-1,Transit,2008
226,CoRoT-1 b,CoRoT-1,Transit,2008
227,CoRoT-1 b,CoRoT-1,Transit,2008
228,CoRoT-1 b,CoRoT-1,Transit,2008
229,CoRoT-1 b,CoRoT-1,Transit,2008
230,CoRoT-10 b,CoRoT-10,Transit,2010
231,CoRoT-10 b,CoRoT-10,Transit,2010
232,CoRoT-10 b,CoRoT-10,Transit,2010
233,CoRoT-11 b,CoRoT-11,Transit,2010
234,CoRoT-11 b,CoRoT-11,Transit,2010
235,CoRoT-11 b,CoRoT-11,Transit,2010
236,CoRoT-11 b,CoRoT-11,Transit,2010
237,CoRoT-11 b,CoRoT-11,Transit,2010
238,CoRoT-11 b,CoRoT-11,Transit,2010
239,CoRoT-12 b,CoRoT-12,Transit,2010
240,CoRoT-12 b,CoRoT-12,Transit,2010
241,CoRoT-12 b,CoRoT-12,Transit,2010
242,CoRoT-12 b,CoRoT-12,Transit,2010
243,CoRoT-12 b,CoRoT-12,Transit,2010
244,CoRoT-12 b,CoRoT-12,Transit,2010
245,CoRoT-13 b,CoRoT-13,Transit,2010
246,CoRoT-13 b,CoRoT-13,Transit,2010
247,CoRoT-13 b,CoRoT-13,Transit,2010
248,CoRoT-13 b,CoRoT-13,Transit,2010
249,CoRoT-13 b,CoRoT-13,Transit,2010
250,CoRoT-14 b,CoRoT-14,Transit,2010
251,CoRoT-14 b,CoRoT-14,Transit,2010
252,CoRoT-14 b,CoRoT-14,Transit,2010
253,CoRoT-16 b,CoRoT-16,Transit,2011
254,CoRoT-16 b,CoRoT-16,Transit,2011
255,CoRoT-17 b,CoRoT-17,Transit,2011
256,CoRoT-17 b,CoRoT-17,Transit,2011
257,CoRoT-17 b,CoRoT-17,Transit,2011
258,CoRoT-18 b,CoRoT-18,Transit,2011
259,CoRoT-18 b,CoRoT-18,Transit,2011
260,CoRoT-18 b,CoRoT-18,Transit,2011
261,CoRoT-18 b,CoRoT-18,Transit,2011
262,CoRoT-18 b,CoRoT-18,Transit,2011
263,CoRoT-18 b,CoRoT-18,Transit,2011
264,CoRoT-19 b,CoRoT-19,Transit,2011
265,CoRoT-19 b,CoRoT-19,Transit,2011
266,CoRoT-19 b,CoRoT-19,Transit,2011
267,CoRoT-19 b,CoRoT-19,Transit,2011
268,CoRoT-19 b,CoRoT-19,Transit,2011
269,CoRoT-19 b,CoRoT-19,Transit,2011
270,CoRoT-2 b,CoRoT-2,Transit,2008
271,CoRoT-2 b,CoRoT-2,Transit,2008
272,CoRoT-2 b,CoRoT-2,Transit,2008
273,CoRoT-2 b,CoRoT-2,Transit,2008
274,CoRoT-2 b,CoRoT-2,Transit,2008
275,CoRoT-2 b,CoRoT-2,Transit,2008
276,CoRoT-2 b,CoRoT-2,Transit,2008
277,CoRoT-2 b,CoRoT-2,Transit,2008
278,CoRoT-2 b,CoRoT-2,Transit,2008
279,CoRoT-2 b,CoRoT-2,Transit,2008
280,CoRoT-2 b,CoRoT-2,Transit,2008
281,CoRoT-2 b,CoRoT-2,Transit,2008
282,CoRoT-20 b,CoRoT-20,Transit,2011
283,CoRoT-20 b,CoRoT-20,Transit,2011
284,CoRoT-20 b,CoRoT-20,Transit,2011
285,CoRoT-20 b,CoRoT-20,Transit,2011
286,CoRoT-20 b,CoRoT-20,Transit,2011
287,CoRoT-20 b,CoRoT-20,Transit,2011
288,CoRoT-20 c,CoRoT-20,Radial Velocity,2018
289,CoRoT-21 b,CoRoT-21,Transit,2012
290,CoRoT-21 b,CoRoT-21,Transit,2012
291,CoRoT-22 b,CoRoT-22,Transit,2014
292,CoRoT-23 b,CoRoT-23,Transit,2011
293,CoRoT-23 b,CoRoT-23,Transit,2011
294,CoRoT-23 b,CoRoT-23,Transit,2011
295,CoRoT-24 b,CoRoT-24,Transit,2014
296,CoRoT-24 c,CoRoT-24,Transit,2014
297,CoRoT-25 b,CoRoT-25,Transit,2013
298,CoRoT-25 b,CoRoT-25,Transit,2013
299,CoRoT-26 b,CoRoT-26,Transit,2013
300,CoRoT-26 b,CoRoT-26,Transit,2013
301,CoRoT-27 b,CoRoT-27,Transit,2014
302,CoRoT-27 b,CoRoT-27,Transit,2014
303,CoRoT-28 b,CoRoT-28,Transit,2015
304,CoRoT-28 b,CoRoT-28,Transit,2015
305,CoRoT-29 b,CoRoT-29,Transit,2015
306,CoRoT-29 b,CoRoT-29,Transit,2015
307,CoRoT-29 b,CoRoT-29,Transit,2015
308,CoRoT-3 b,CoRoT-3,Transit,2008
309,CoRoT-3 b,CoRoT-3,Transit,2008
310,CoRoT-3 b,CoRoT-3,Transit,2008
311,CoRoT-3 b,CoRoT-3,Transit,2008
312,CoRoT-3 b,CoRoT-3,Transit,2008
313,CoRoT-30 b,CoRoT-30,Transit,2020
314,CoRoT-31 b,CoRoT-31,Transit,2020
315,CoRoT-35 b,CoRoT-35,Transit,2022
316,CoRoT-36 b,CoRoT-36,Transit,2022
317,CoRoT-4 b,CoRoT-4,Transit,2008
318,CoRoT-4 b,CoRoT-4,Transit,2008
319,CoRoT-4 b,CoRoT-4,Transit,2008
320,CoRoT-4 b,CoRoT-4,Transit,2008
321,CoRoT-5 b,CoRoT-5,Transit,2009
322,CoRoT-5 b,CoRoT-5,Transit,2009
323,CoRoT-5 b,CoRoT-5,Transit,2009
324,CoRoT-5 b,CoRoT-5,Transit,2009
325,CoRoT-5 b,CoRoT-5,Transit,2009
326,CoRoT-5 b,CoRoT-5,Transit,2009
327,CoRoT-6 b,CoRoT-6,Transit,2009
328,CoRoT-6 b,CoRoT-6,Transit,2009
329,CoRoT-6 b,CoRoT-6,Transit,2009
330,CoRoT-6 b,CoRoT-6,Transit,2009
331,CoRoT-7 b,CoRoT-7,Transit,2009
332,CoRoT-7 b,CoRoT-7,Transit,2009
333,CoRoT-7 b,CoRoT-7,Transit,2009
334,CoRoT-7 b,CoRoT-7,Transit,2009
335,CoRoT-7 b,CoRoT-7,Transit,2009
336,CoRoT-7 b,CoRoT-7,Transit,2009
337,CoRoT-7 b,CoRoT-7,Transit,2009
338,CoRoT-7 b,CoRoT-7,Transit,2009
339,CoRoT-7 c,CoRoT-7,Radial Velocity,2009
340,CoRoT-7 c,CoRoT-7,Radial Velocity,2009
341,CoRoT-7 c,CoRoT-7,Radial Velocity,2009
342,CoRoT-7 d,CoRoT-7,Radial Velocity,2022
343,CoRoT-8 b,CoRoT-8,Transit,2010
344,CoRoT-8 b,CoRoT-8,Transit,2010
345,CoRoT-8 b,CoRoT-8,Transit,2010
346,CoRoT-8 b,CoRoT-8,Transit,2010
347,CoRoT-9 b,CoRoT-9,Transit,2009
348,CoRoT-9 b,CoRoT-9,Transit,2009
349,CoRoT-9 b,CoRoT-9,Transit,2009
350,CoRoT-9 b,CoRoT-9,Transit,2009
351,CoRoT-9 b,CoRoT-9,Transit,2009
352,CoRoTID 223977153 b,CoRoTID 223977153,Transit,2017
353,CoRoTID 223977153 b,CoRoTID 223977153,Transit,2017
354,DE CVn b,DE CVn,Eclipse Timing Variations,2018
355,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,Astrometry,2013
356,DH Tau b,DH Tau,Imaging,2004
357,DH Tau b,DH Tau,Imaging,2004
358,DMPP-1 b,DMPP-1,Radial Velocity,2019
359,DMPP-1 c,DMPP-1,Radial Velocity,2019
360,DMPP-1 d,DMPP-1,Radial Velocity,2019
361,DMPP-1 e,DMPP-1,Radial Velocity,2019
362,DMPP-2 b,DMPP-2,Radial Velocity,2019
363,DMPP-3 A b,DMPP-3 A,Radial Velocity,2019
364,DMPP-3 A b,DMPP-3 A,Radial Velocity,2019
365,DMPP-4 b,DMPP-4,Radial Velocity,2023
366,DP Leo b,DP Leo,Eclipse Timing Variations,2009
367,DP Leo b,DP Leo,Eclipse Timing Variations,2009
368,DS Tuc A b,DS Tuc A,Transit,2019
369,DS Tuc A b,DS Tuc A,Transit,2019
370,DS Tuc A b,DS Tuc A,Transit,2019
371,EPIC 201170410.02,EPIC 201170410,Transit,2020
372,EPIC 201238110 b,EPIC 201238110,Transit,2019
373,EPIC 201238110 b,EPIC 201238110,Transit,2019
374,EPIC 201427007 b,EPIC 201427007,Transit,2021
375,EPIC 201497682 b,EPIC 201497682,Transit,2019
376,EPIC 201595106 b,EPIC 201595106,Transit,2021
377,EPIC 201595106 b,EPIC 201595106,Transit,2021
378,EPIC 201595106 b,EPIC 201595106,Transit,2021
379,EPIC 201615463 c,K2-166,Transit,2019
380,EPIC 201754305 d,K2-16,Transit,2019
381,EPIC 201757695.02,EPIC 201757695,Transit,2020
382,EPIC 201833600 c,K2-50,Transit,2019
383,EPIC 201833600 c,K2-50,Transit,2019
384,EPIC 201841433 b,EPIC 201841433,Transit,2019
385,EPIC 201841433 b,EPIC 201841433,Transit,2019
386,EPIC 201841433 b,EPIC 201841433,Transit,2019
387,EPIC 205950854 c,K2-168,Transit,2019
388,EPIC 205950854 c,K2-168,Transit,2019
389,EPIC 205950854 c,K2-168,Transit,2019
390,EPIC 206024342 b,EPIC 206024342,Transit,2019
391,EPIC 206024342 b,EPIC 206024342,Transit,2019
392,EPIC 206024342 c,EPIC 206024342,Transit,2021
393,EPIC 206024342 c,EPIC 206024342,Transit,2021
394,EPIC 206024342 c,EPIC 206024342,Transit,2021
395,EPIC 206024342 d,EPIC 206024342,Transit,2021
396,EPIC 206024342 d,EPIC 206024342,Transit,2021
397,EPIC 206024342 d,EPIC 206024342,Transit,2021
398,EPIC 206024342 d,EPIC 206024342,Transit,2021
399,EPIC 206032309 b,EPIC 206032309,Transit,2019
400,EPIC 206042996 b,EPIC 206042996,Transit,2019
401,EPIC 206042996 b,EPIC 206042996,Transit,2019
402,EPIC 206042996 b,EPIC 206042996,Transit,2019
403,EPIC 206042996 c,EPIC 206042996,Transit,2021
404,EPIC 206042996 c,EPIC 206042996,Transit,2021
405,EPIC 206215704 b,EPIC 206215704,Transit,2019
406,EPIC 206215704 b,EPIC 206215704,Transit,2019
407,EPIC 206215704 b,EPIC 206215704,Transit,2019
408,EPIC 206317286 b,EPIC 206317286,Transit,2019
409,EPIC 206317286 b,EPIC 206317286,Transit,2019
410,EPIC 206317286 c,EPIC 206317286,Transit,2022
411,EPIC 206317286 c,EPIC 206317286,Transit,2022
412,EPIC 206317286 c,EPIC 206317286,Transit,2022
413,EPIC 211822797 b,EPIC 211822797,Transit,2016
414,EPIC 211822797 b,EPIC 211822797,Transit,2016
415,EPIC 211822797 b,EPIC 211822797,Transit,2016
416,EPIC 211822797 b,EPIC 211822797,Transit,2016
417,EPIC 211822797 b,EPIC 211822797,Transit,2016
418,EPIC 211822797 b,EPIC 211822797,Transit,2016
419,EPIC 211945201 b,EPIC 211945201,Transit,2018
420,EPIC 211945201 b,EPIC 211945201,Transit,2018
421,EPIC 211945201 b,EPIC 211945201,Transit,2018
422,EPIC 211945201 b,EPIC 211945201,Transit,2018
423,EPIC 211945201 b,EPIC 211945201,Transit,2018
424,EPIC 211945201 b,EPIC 211945201,Transit,2018
425,EPIC 211945201 b,EPIC 211945201,Transit,2018
426,EPIC 211945201 b,EPIC 211945201,Transit,2018
427,EPIC 211945201 b,EPIC 211945201,Transit,2018
428,EPIC 211945201 b,EPIC 211945201,Transit,2018
429,EPIC 212297394 b,EPIC 212297394,Transit,2019
430,EPIC 212297394 b,EPIC 212297394,Transit,2019
431,EPIC 212297394 b,EPIC 212297394,Transit,2019
432,EPIC 212297394 c,EPIC 212297394,Transit,2016
433,EPIC 212297394 c,EPIC 212297394,Transit,2016
434,EPIC 212297394 c,EPIC 212297394,Transit,2016
435,EPIC 212424622 b,EPIC 212424622,Transit,2019
436,EPIC 212424622 b,EPIC 212424622,Transit,2019
437,EPIC 212499991 b,EPIC 212499991,Transit,2019
438,EPIC 212587672 b,EPIC 212587672,Transit,2019
439,EPIC 212587672 b,EPIC 212587672,Transit,2019
440,EPIC 212587672 b,EPIC 212587672,Transit,2019
441,EPIC 212587672 c,EPIC 212587672,Transit,2016
442,EPIC 212587672 c,EPIC 212587672,Transit,2016
443,EPIC 212587672 c,EPIC 212587672,Transit,2016
444,EPIC 212587672 c,EPIC 212587672,Transit,2016
445,EPIC 212587672 c,EPIC 212587672,Transit,2016
446,EPIC 212587672 c,EPIC 212587672,Transit,2016
447,EPIC 212624936 b,EPIC 212624936,Transit,2021
448,EPIC 212624936 c,EPIC 212624936,Transit,2021
449,EPIC 212624936 c,EPIC 212624936,Transit,2021
450,EPIC 212737443 b,EPIC 212737443,Transit,2019
451,EPIC 212737443 b,EPIC 212737443,Transit,2019
452,EPIC 212737443 b,EPIC 212737443,Transit,2019
453,EPIC 212737443 c,EPIC 212737443,Transit,2019
454,EPIC 220492298 b,EPIC 220492298,Transit,2021
455,EPIC 220554210 c,K2-282,Transit,2019
456,EPIC 220554210 c,K2-282,Transit,2019
457,EPIC 220554210 c,K2-282,Transit,2019
458,EPIC 220674823 b,EPIC 220674823,Transit,2016
459,EPIC 220674823 b,EPIC 220674823,Transit,2016
460,EPIC 220674823 b,EPIC 220674823,Transit,2016
461,EPIC 220674823 b,EPIC 220674823,Transit,2016
462,EPIC 220674823 b,EPIC 220674823,Transit,2016
463,EPIC 220674823 b,EPIC 220674823,Transit,2016
464,EPIC 220674823 b,EPIC 220674823,Transit,2016
465,EPIC 220674823 b,EPIC 220674823,Transit,2016
466,EPIC 220674823 b,EPIC 220674823,Transit,2016
467,EPIC 220674823 b,EPIC 220674823,Transit,2016
468,EPIC 220674823 c,EPIC 220674823,Transit,2016
469,EPIC 220674823 c,EPIC 220674823,Transit,2016
470,EPIC 220674823 c,EPIC 220674823,Transit,2016
471,EPIC 220674823 c,EPIC 220674823,Transit,2016
472,EPIC 220674823 c,EPIC 220674823,Transit,2016
473,EPIC 220674823 c,EPIC 220674823,Transit,2016
474,EPIC 220674823 c,EPIC 220674823,Transit,2016
475,EPIC 220674823 c,EPIC 220674823,Transit,2016
476,EPIC 220674823 c,EPIC 220674823,Transit,2016
477,EPIC 228836835 b,EPIC 228836835,Transit,2021
478,EPIC 228836835 b,EPIC 228836835,Transit,2021
479,EPIC 229004835 b,EPIC 229004835,Transit,2023
480,EPIC 229004835 b,EPIC 229004835,Transit,2023
481,EPIC 229004835 b,EPIC 229004835,Transit,2023
482,EPIC 246851721 b,EPIC 246851721,Transit,2018
483,EPIC 246851721 b,EPIC 246851721,Transit,2018
484,EPIC 246851721 b,EPIC 246851721,Transit,2018
485,EPIC 248847494 b,EPIC 248847494,Transit,2018
486,EPIC 249893012 b,EPIC 249893012,Transit,2020
487,EPIC 249893012 c,EPIC 249893012,Transit,2020
488,EPIC 249893012 d,EPIC 249893012,Transit,2020
489,FU Tau b,FU Tau,Imaging,2008
490,G 264-012 b,G 264-012,Radial Velocity,2021
491,G 264-012 c,G 264-012,Radial Velocity,2021
492,G 9-40 b,G 9-40,Transit,2019
493,G 9-40 b,G 9-40,Transit,2019
494,G 9-40 b,G 9-40,Transit,2019
495,G 9-40 b,G 9-40,Transit,2019
496,GJ 1002 b,GJ 1002,Radial Velocity,2022
497,GJ 1002 c,GJ 1002,Radial Velocity,2022
498,GJ 1061 b,GJ 1061,Radial Velocity,2020
499,GJ 1061 c,GJ 1061,Radial Velocity,2020
500,GJ 1061 d,GJ 1061,Radial Velocity,2020
501,GJ 1132 b,GJ 1132,Transit,2015
